municipality_code,name,prefecture,kana,population,scraper_type,scraper_base_url,tenant_id,press_rss_url,opendata_url,tier,is_active,notes
00000,国会,国,コッカイ,,kokkai,,,,,1,true,国会会議録 (kokkai.ndl.go.jp/api/speech)
01000,北海道,北海道,ホッカイドウ,,unknown,,,,,3,false,prefecture_aggregate
01100,札幌市,北海道,サッポロシ,,voices_asp,https://sapporo.gijiroku.com/voices,,,,1,false,sapporo (NOT DiscussNet; voices_asp vendor)
01202,函館市,北海道,ハコダテシ,,unknown,,,,,3,false,
01203,小樽市,北海道,オタルシ,,unknown,,,,,3,false,
01204,旭川市,北海道,アサヒカワシ,,unknown,,,,,3,false,
01205,室蘭市,北海道,ムロランシ,,unknown,,,,,3,false,
01206,釧路市,北海道,クシロシ,,unknown,,,,,3,false,
01207,帯広市,北海道,オビヒロシ,,unknown,,,,,3,false,
01208,北見市,北海道,キタミシ,,unknown,,,,,3,false,
01209,夕張市,北海道,ユウバリシ,,unknown,,,,,3,false,
01210,岩見沢市,北海道,イワミザワシ,,unknown,,,,,3,false,
01211,網走市,北海道,アバシリシ,,unknown,,,,,3,false,
01212,留萌市,北海道,ルモイシ,,unknown,,,,,3,false,
01213,苫小牧市,北海道,トマコマイシ,,unknown,,,,,3,false,
01214,稚内市,北海道,ワッカナイシ,,unknown,,,,,3,false,
01215,美唄市,北海道,ビバイシ,,unknown,,,,,3,false,
01216,芦別市,北海道,アシベツシ,,unknown,,,,,3,false,
01217,江別市,北海道,エベツシ,,unknown,,,,,3,false,
01218,赤平市,北海道,アカビラシ,,unknown,,,,,3,false,
01219,紋別市,北海道,モンベツシ,,unknown,,,,,3,false,
01220,士別市,北海道,シベツシ,,unknown,,,,,3,false,
01221,名寄市,北海道,ナヨロシ,,unknown,,,,,3,false,
01222,三笠市,北海道,ミカサシ,,unknown,,,,,3,false,
01223,根室市,北海道,ネムロシ,,unknown,,,,,3,false,
01224,千歳市,北海道,チトセシ,,unknown,,,,,3,false,
01225,滝川市,北海道,タキカワシ,,unknown,,,,,3,false,
01226,砂川市,北海道,スナガワシ,,unknown,,,,,3,false,
01227,歌志内市,北海道,ウタシナイシ,,unknown,,,,,3,false,
01228,深川市,北海道,フカガワシ,,unknown,,,,,3,false,
01229,富良野市,北海道,フラノシ,,unknown,,,,,3,false,
01230,登別市,北海道,ノボリベツシ,,unknown,,,,,3,false,
01231,恵庭市,北海道,エニワシ,,unknown,,,,,3,false,
01233,伊達市,北海道,ダテシ,,unknown,,,,,3,false,
01234,北広島市,北海道,キタヒロシマシ,,unknown,,,,,3,false,
01235,石狩市,北海道,イシカリシ,,unknown,,,,,3,false,
01236,北斗市,北海道,ホクトシ,,unknown,,,,,3,false,
01303,当別町,北海道,トウベツチョウ,,unknown,,,,,3,false,
01304,新篠津村,北海道,シンシノツムラ,,unknown,,,,,3,false,
01331,松前町,北海道,マツマエチョウ,,unknown,,,,,3,false,
