municipality_code,households_total,population_2015,births_annual
01000,2476846,5381733,24430
01100,969161,1952356,
01101,141429,237627,1332
01102,139675,285321,1449
01103,131188,261912,1487
01104,108233,209584,1239
01105,118650,218652,1313
01106,62134,141190,550
01107,103849,213578,1357
01108,57289,127767,502
01109,61080,140999,665
01110,45634,115726,458
01202,121793,265979,947
01203,52817,121924,348
01204,156195,339605,1565
01205,41766,88564,343
01206,80349,174742,644
01207,80175,169327,902
01208,55188,121226,549
01209,3807,8843,10
01210,35584,84499,312
01211,17253,39077,143
01212,9816,22221,83
01213,80130,172737,891
01214,16060,36380,128
01215,9434,23035,42
01216,6055,14676,32
01217,53977,120636,575
01218,4494,11105,30
01219,11214,23109,81
01220,8184,19914,59
01221,12810,29048,140
01222,3816,9076,32
01223,11153,26917,103
01224,43809,95648,657
01225,18688,41192,164
01226,7599,17694,55
01227,1424,3585,14
01228,9198,21909,70
01229,9538,22936,110
01230,20928,49625,166
01231,30276,69702,354
01233,14844,34995,149
01234,24640,59064,235
01235,23102,57436,254
01236,18337,46390,186
01300,,20607,
01303,7281,17278,53
01304,1051,3329,12
01305,744,1927,
01306,599,1328,
01330,,92429,
01331,3196,7337,12
01332,1861,4422,9
01333,1868,4653,15
01334,1871,4547,10
01335,14441,36199,
01336,3896,10191,
01337,11568,28120,126
01339,966,2677,
01340,1148,2993,
01341,350,910,
01342,1863,5242,
01343,1619,4226,11
01344,1415,3843,
01345,6330,15946,34
01346,7519,17252,66
01347,2717,5926,22
01360,,37870,
01361,3542,8248,27
01362,2053,4876,15
01363,1654,4049,6
01364,1597,3906,7
01365,983,2422,
01366,672,1580,
01367,1215,2690,8
01368,792,1932,
01369,2070,4961,
01370,2192,5628,20
01371,3534,8473,22
01390,,93598,
01391,617,1499,6
01392,1340,3137,12
01393,1298,3082,17
01394,2081,4843,12
01395,2515,4958,25
01396,903,2103,17
01397,959,1907,9
01398,1130,2294,10
01399,1269,3187,15
01400,7631,15018,103
01401,2728,6224,31
01402,5750,13042,42
01403,813,1771,6
01404,401,1004,
01405,883,2115,4
01406,1282,3188,5
01407,1332,3498,13
01408,8283,19607,66
01409,621,1121,4
01420,,72722,
01421,845,2707,
01422,1940,5444,
01423,2980,7927,38
01424,2312,5674,21
01425,1479,3479,2
01427,2063,5314,18
01428,4091,11076,37
01429,4964,12344,42
01430,1320,4577,11
01431,777,1985,7
01432,2543,6831,26
01433,1201,3091,4
01434,982,2513,10
01436,926,2749,8
01437,737,1981,4
01438,1244,3181,13
01439,667,1525,
01450,,91955,
01452,2658,7018,29
01453,3840,10233,41
01454,2773,6689,29
01455,1570,3777,13
01456,1189,2976,11
01457,1913,4044,11
01458,3405,8111,43
01459,4213,10292,35
01460,4287,10826,63
01461,1977,5069,28
01462,1075,2555,6
01463,849,1211,1
01464,1429,3596,5
01465,1227,3228,13
01466,572,1332,
01467,1486,4002,
01468,1473,3547,16
01469,1912,4659,18
01470,347,832,2
01471,822,1767,4
01472,667,1525,3
01480,,25691,
01481,1878,4497,6
01482,1366,3336,7
01483,1347,3265,8
01484,3143,7327,13
01485,498,1217,4
01486,1200,2806,9
01487,1425,3243,12
01488,1225,2447,
01510,,31123,
01511,1238,2684,24
01512,1716,3881,17
01513,756,1757,10
01514,3515,8437,36
01515,718,1725,
01516,1951,4054,9
01517,1246,2773,13
01518,1037,2303,7
01519,1199,2787,7
01520,1225,2447,12
01540,,110130,
01541,862,2312,
01542,1888,5048,
01543,8309,20296,76
01544,2043,5008,13
01545,5349,12231,40
01546,1591,4221,9
01547,1966,5085,12
01548,1737,4886,
01549,1873,5100,11
01550,1202,3092,10
01551,2568,6381,
01552,2266,5362,22
01553,1476,3980,
01554,701,1896,
01555,8813,20873,67
01556,589,1471,
01557,302,690,
01558,2057,5031,
01559,3692,9231,40
01560,1201,2721,12
01561,1725,3909,12
01562,499,1116,4
01563,2052,4525,14
01564,2750,7360,22
01570,,55834,
01571,1774,4291,17
01572,3395,7648,
01573,635,1651,
01574,449,1370,
01575,1170,2922,11
01578,7688,17740,38
01579,1955,4737,
01580,1496,3411,
01581,1930,4838,24
01582,2539,5847,
01583,1108,2749,
01584,4030,9299,24
01585,3451,8148,23
01586,3647,8596,29
01600,,69015,
01601,5552,12378,48
01602,2288,5315,19
01603,4842,10875,
01604,2443,5592,18
01605,8619,19298,
01606,1557,3933,
01607,5936,13075,52
01608,1913,4518,20
01609,1822,4906,15
01610,10176,23231,86
01630,,174109,
01631,18362,44807,220
01632,2524,6132,30
01633,2350,4765,19
01634,2255,5542,35
01635,2883,6288,14
01636,4166,9599,37
01637,7257,18484,95
01638,1684,3966,21
01639,1311,3185,20
01640,695,1531,
01641,2593,5738,34
01642,2997,7030,17
01643,11029,26760,116
01644,2974,6882,16
01645,1355,3182,11
01646,3108,7358,20
01647,3097,6990,30
01648,1058,2482,4
01649,1991,4919,16
01660,,61774,
01661,8268,19833,110
01662,4021,9778,38
01663,2323,6061,27
01664,3248,7742,33
01665,3339,7758,26
01666,2259,4882,
01667,1109,2534,11
01668,3457,8068,20
01669,784,1935,
01690,,49704,
01691,6092,15273,76
01692,10577,23774,109
01693,2206,5242,22
01694,1958,5415,12
02000,511526,1308265,5696
02201,118483,287648,1278
02202,71022,177411,826
02203,95671,231257,1149
02204,11661,34284,141
02205,20908,55181,197
02206,25540,63429,280
02207,17252,40196,243
02208,24077,58493,226
02209,10823,33316,107
02210,10049,32106,153
02300,,22992,
02301,3796,11142,29
02302,1072,2978,
02303,1127,2756,4
02304,899,2896,7
02305,579,1577,
02306,707,1643,
02307,2358,6198,6
02320,,18555,
02321,3643,10126,16
02322,5051,15380,
02323,3047,8429,17
02324,1356,4301,
02325,770,1988,
02326,1806,5076,
02327,1190,3926,
02328,1420,4633,
02340,,1415,
02341,3385,10780,
02342,994,3288,
02343,437,1415,9
02360,,32638,
02361,4965,15179,87
02362,3228,9676,18
02363,2904,9492,
02364,6160,18213,
02365,6312,20100,
02366,1954,6130,
02367,2401,7783,31
02368,833,2514,
02380,,38514,
02381,4476,13935,47
02382,3018,8679,
02383,2767,8307,
02384,4256,13392,36
02385,751,2056,
02386,1103,2880,
