municipality_code,name,prefecture,kana,population,scraper_type,scraper_base_url,tenant_id,press_rss_url,opendata_url,tier,is_active,notes,homepage_url,homepage_source,rss_status,rss_last_updated,rss_item_count,rss_error,rss_checked_at
00000,国会,国,コッカイ,,kokkai,,,,,1,true,国会会議録 (kokkai.ndl.go.jp/api/speech),,,,,,,
01000,北海道,北海道,ホッカイドウ,,unknown,,,,,3,false,prefecture_aggregate,,,,,,,
01100,札幌市,北海道,サッポロシ,,voices_asp,https://sapporo.gijiroku.com/voices,,https://www.city.sapporo.jp/new/shinchaku.xml,,1,false,sapporo (NOT DiscussNet; voices_asp vendor),https://www.city.sapporo.jp/,guess,確認済,2026-05-27T07:21:24,60,,2026-05-27T23:16:46
01202,函館市,北海道,ハコダテシ,,unknown,,,,,3,false,,https://www.city.hakodate.hokkaido.jp/,guess,失敗,,,RSSフィードを発見できず(26候補試行),2026-05-27T23:16:46
01203,小樽市,北海道,オタルシ,,unknown,,,https://www.city.otaru.lg.jp/categories/kubun/chumoku/index.rss,,3,false,,https://www.city.otaru.lg.jp/,guess,確認済,2026-05-27T17:00:00,10,,2026-05-27T23:16:46
01204,旭川市,北海道,アサヒカワシ,,unknown,,,,,3,false,,https://www.city.asahikawa.hokkaido.jp/,guess,失敗,,,RSSフィードを発見できず(26候補試行),2026-05-27T23:16:46
01205,室蘭市,北海道,ムロランシ,,unknown,,,,,3,false,,https://www.city.muroran.lg.jp/,guess,失敗,,,RSSフィードを発見できず(26候補試行),2026-05-27T23:16:46
01206,釧路市,北海道,クシロシ,,unknown,,,,,3,false,,https://www.city.kushiro.lg.jp/,guess,失敗,,,RSSフィードを発見できず(27候補試行),2026-05-27T23:16:46
01207,帯広市,北海道,オビヒロシ,,unknown,,,,,3,false,,https://www.city.obihiro.hokkaido.jp/,guess,失敗,,,RSSフィードを発見できず(26候補試行),2026-05-27T23:16:46
01208,北見市,北海道,キタミシ,,unknown,,,https://www.city.kitami.hokkaido.jp/fire-dept/feed/,,3,false,,https://www.city.kitami.hokkaido.jp/fire-dept/,guess,確認済,2026-05-15T01:32:11,10,,2026-05-27T23:16:46
01209,夕張市,北海道,ユウバリシ,,unknown,,,,,3,false,,http://www.yuubari.com/,guess,失敗,,,RSSフィードを発見できず(26候補試行),2026-05-27T23:16:49
01210,岩見沢市,北海道,イワミザワシ,,unknown,,,https://www.city.iwamizawa.hokkaido.jp/cgi-bin/feed.php?displayCount=10&displayRange=90,,3,false,,https://www.city.iwamizawa.hokkaido.jp/,guess,確認済,2026-05-27T10:57:13,10,,2026-05-27T23:16:49
01211,網走市,北海道,アバシリシ,,unknown,,,https://www.city.abashiri.hokkaido.jp/rss/10/list1.xml,,3,false,,https://www.city.abashiri.hokkaido.jp/,guess,確認済,2026-05-27T15:00:00,100,,2026-05-27T23:16:52
