municipality_code,municipality_name,prefecture,population_total,population_15_29,population_65_plus,population_2015,households_total,births_annual,data_year,source_url
01000,北海道,北海道,5224614,665768,1664023,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01100,札幌市,北海道,1973395,280226,541242,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01202,函館市,北海道,251084,28773,89257,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01203,小樽市,北海道,111299,11893,45426,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01204,旭川市,北海道,329306,38153,112411,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01205,室蘭市,北海道,82383,11635,30330,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01206,釧路市,北海道,165077,20261,56355,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01207,帯広市,北海道,166536,22526,49000,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01208,北見市,北海道,115480,13685,38841,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01209,夕張市,北海道,7334,455,3828,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01210,岩見沢市,北海道,79306,9317,28880,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01211,網走市,北海道,35759,5145,11259,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01212,留萌市,北海道,20114,1955,7425,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01213,苫小牧市,北海道,170113,21617,50022,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01214,稚内市,北海道,33563,3902,11025,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01215,美唄市,北海道,20413,2116,8642,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01216,芦別市,北海道,12555,1006,5995,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01217,江別市,北海道,121056,18133,36783,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01218,赤平市,北海道,9698,772,4669,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01219,紋別市,北海道,21215,2346,7697,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01220,士別市,北海道,17858,1541,7350,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01221,名寄市,北海道,27282,3897,8747,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
01222,三笠市,北海道,8040,711,3819,,,,2020,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0003445245
