municipality_code,year,population
01000,2000,5683062
01000,2005,5627737
01000,2010,5506419
01100,2000,1822368
01100,2005,1880863
01100,2010,1913545
01202,2000,287637
01202,2005,294264
01202,2010,279127
01203,2000,150687
01203,2005,142161
01203,2010,131928
01204,2000,359536
01204,2005,355004
01204,2010,347095
01205,2000,103278
01205,2005,98372
01205,2010,94535
01206,2000,191739
01206,2005,181516
01206,2010,181169
01207,2000,173030
01207,2005,170580
01207,2010,168057
01208,2000,112040
01208,2005,110715
01208,2010,125689
01209,2000,14791
01209,2005,13001
01209,2010,10922
01210,2000,85029
01210,2005,83202
01210,2010,90145
01211,2000,43395
01211,2005,42045
01211,2010,40998
01212,2000,28325
01212,2005,26826
01212,2010,24457
01213,2000,172086
01213,2005,172758
01213,2010,173320
01214,2000,43774
01214,2005,41592
01214,2010,39595
01215,2000,31183
01215,2005,29083
01215,2010,26034
01216,2000,21026
01216,2005,18899
01216,2010,16628
01217,2000,123877
01217,2005,125601
01217,2010,123722
01218,2000,15753
01218,2005,14401
01218,2010,12637
01219,2000,28476
01219,2005,26632
01219,2010,24750
01220,2000,23065
01220,2005,23411
01220,2010,21787
01221,2000,27760
01221,2005,26590
01221,2010,30591
01222,2000,13561
01222,2005,11927
01222,2010,10221
01223,2000,33150
01223,2005,31202
01223,2010,29201
01224,2000,88897
01224,2005,91437
01224,2010,93604
01225,2000,46861
01225,2005,45562
01225,2010,43170
01226,2000,21072
01226,2005,20068
01226,2010,19056
01227,2000,5941
01227,2005,5221
01227,2010,4387
01228,2000,27579
01228,2005,25838
01228,2010,23709
01229,2000,26112
01229,2005,25076
01229,2010,24259
01230,2000,54761
01230,2005,53135
01230,2010,51526
01231,2000,65239
01231,2005,67614
01231,2010,69384
01233,2000,35042
01233,2005,35223
01233,2010,36278
01234,2000,57731
01234,2005,60677
01234,2010,60353
01235,2000,54567
01235,2005,60104
01235,2010,59449
01236,2010,48032
01303,2000,20778
01303,2005,19982
01303,2010,18766
01304,2000,3940
01304,2005,3737
01304,2010,3515
01331,2000,11108
01331,2005,10121
01331,2010,8748
01332,2000,6795
01332,2005,5897
01332,2010,5114
01333,2000,5832
01333,2005,5447
01333,2010,5074
01334,2000,6665
01334,2005,6024
01334,2010,5341
01337,2000,28354
01337,2005,28424
01337,2010,28463
01343,2000,4907
01343,2005,4919
01343,2010,4767
01345,2000,15104
01345,2005,19149
01345,2010,17859
01346,2000,17636
01346,2005,20131
01346,2010,18896
01347,2000,8032
01347,2005,7003
01347,2010,6386
01361,2000,10959
01361,2005,10131
01361,2010,9004
01362,2000,7152
01362,2005,6417
01362,2010,5428
01363,2000,5105
01363,2005,4775
01363,2010,4409
01364,2000,5143
01364,2005,4816
01364,2010,4408
01367,2000,3921
01367,2005,3643
01367,2010,3033
01370,2000,6906
01370,2005,6466
01370,2010,6186
01371,2005,10748
01371,2010,9590
01391,2000,2224
01391,2005,1996
01391,2010,1781
01392,2000,4114
01392,2005,3744
01392,2010,3443
01393,2000,3608
01393,2005,3457
01393,2010,3250
01394,2000,6215
01394,2005,5802
01394,2010,5292
01395,2000,4553
01395,2005,4669
01395,2010,4823
01396,2000,2536
01396,2005,2354
01396,2010,2189
01397,2000,2227
01397,2005,2165
01397,2010,2034
01398,2000,2843
01398,2005,2707
01398,2010,2490
01399,2000,3505
01399,2005,3583
01399,2010,3811
01400,2000,16184
01400,2005,16176
01400,2010,15568
01401,2000,7249
01401,2005,7112
01401,2010,6428
01402,2000,16726
01402,2005,15744
01402,2010,14451
01403,2000,2040
01403,2005,2185
01403,2010,1883
01404,2000,1325
01404,2005,1319
01404,2010,1122
01405,2000,3149
01405,2005,2860
01405,2010,2516
01406,2000,4318
01406,2005,4021
01406,2010,3611
