municipality_code,year,population
01101,2025,300240
01101,2030,306156
01101,2035,309238
01101,2040,308902
01101,2045,305175
01101,2050,299667
01101,2055,293101
01101,2060,285440
01101,2065,276189
01101,2070,265834
01102,2025,319580
01102,2030,317465
01102,2035,313299
01102,2040,306840
01102,2045,298601
01102,2050,290044
01102,2055,281220
01102,2060,271247
01102,2065,260103
01102,2070,248365
01103,2025,268552
01103,2030,266500
01103,2035,262794
01103,2040,257148
01103,2045,250079
01103,2050,242278
01103,2055,233947
01103,2060,224986
01103,2065,215087
01103,2070,204729
01104,2025,215455
01104,2030,214443
01104,2035,212152
01104,2040,208161
01104,2045,202616
01104,2050,196257
01104,2055,189402
01104,2060,181963
01104,2065,173726
01104,2070,165071
01105,2025,225814
01105,2030,224664
01105,2035,222319
01105,2040,218368
01105,2045,212857
01105,2050,206529
01105,2055,199685
01105,2060,192268
01105,2065,183988
01105,2070,175218
01106,2025,139555
01106,2030,132406
01106,2035,124511
01106,2040,116017
01106,2045,107341
01106,2050,99135
01106,2055,91407
01106,2060,84117
01106,2065,76968
01106,2070,70254
01107,2025,228324
01107,2030,226285
01107,2035,223120
01107,2040,218552
01107,2045,212871
01107,2050,206486
01107,2055,199648
01107,2060,192293
01107,2065,184215
01107,2070,175840
01108,2025,121673
01108,2030,117142
01108,2035,111762
01108,2040,105723
01108,2045,99230
01108,2050,92787
01108,2055,86411
01108,2060,80077
01108,2065,73662
01108,2070,67413
01109,2025,140280
01109,2030,137793
01109,2035,134063
01109,2040,129318
01109,2045,124150
01109,2050,119191
01109,2055,114318
01109,2060,109600
01109,2065,104456
01109,2070,99108
01110,2025,109791
01110,2030,106172
01110,2035,101759
01110,2040,96647
01110,2045,91176
01110,2050,85725
01110,2055,80400
01110,2060,75144
01110,2065,69741
01110,2070,64515
01202,2025,237230
01202,2030,220166
01202,2035,203002
01202,2040,185978
01202,2045,169513
01202,2050,154107
01202,2055,139897
01202,2060,126228
01202,2065,113085
01202,2070,100732
01203,2025,103779
01203,2030,93384
01203,2035,83341
01203,2040,73751
01203,2045,64837
01203,2050,56893
01203,2055,49806
01203,2060,43398
01203,2065,37402
01203,2070,31991
01204,2025,323865
01204,2030,308947
01204,2035,293397
01204,2040,277152
01204,2045,260614
01204,2050,244336
01204,2055,228464
01204,2060,212855
01204,2065,196914
01204,2070,181175
01205,2025,75620
01205,2030,69388
01205,2035,63135
01205,2040,57168
01205,2045,51766
01205,2050,46922
01205,2055,42541
01205,2060,38561
01205,2065,34715
01205,2070,31116
01206,2025,4112
01206,2030,3685
01206,2035,3272
