municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,reinfolib_loaded_at,reinfolib_source_url
01000,1900,4260,240000,28.8,1003,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.0642,141.3469&z=12",2026-05-27T08:29:02.052118+00:00,https://www.reinfolib.mlit.go.jp/
01100,2000,3802,260000,28.5,1003,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.0642,141.3469&z=12",2026-05-27T08:29:52.464304+00:00,https://www.reinfolib.mlit.go.jp/
01213,760,49,104615,35.1,172,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=42.6346,141.6055&z=12",2026-05-27T08:30:05.406388+00:00,https://www.reinfolib.mlit.go.jp/
02000,1000,59,166666,30,749,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=40.8244,140.74&z=12",2026-05-27T08:30:19.128210+00:00,https://www.reinfolib.mlit.go.jp/
04000,2100,1985,306666,25.4,889,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=38.2688,140.8721&z=12",2026-05-27T08:30:32.146276+00:00,https://www.reinfolib.mlit.go.jp/
07000,1400,300,200000,25.8,429,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.7503,140.4676&z=12",2026-05-27T08:30:45.825639+00:00,https://www.reinfolib.mlit.go.jp/
08000,2400,518,314285,20.4,554,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.3418,140.4467&z=12",2026-05-27T08:30:58.815949+00:00,https://www.reinfolib.mlit.go.jp/
09000,1800,367,257142,22.1,725,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.5658,139.8836&z=12",2026-05-27T08:31:11.847691+00:00,https://www.reinfolib.mlit.go.jp/
10000,1500,221,215384,25.3,1276,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.3911,139.0608&z=12",2026-05-27T08:31:25.660742+00:00,https://www.reinfolib.mlit.go.jp/
11000,2600,7146,389473,26.3,3450,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.8569,139.6489&z=12",2026-05-27T08:31:38.704024+00:00,https://www.reinfolib.mlit.go.jp/
12000,2500,7155,337500,28.0,1436,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.6051,140.1233&z=12",2026-05-27T08:31:52.377330+00:00,https://www.reinfolib.mlit.go.jp/
12204,3500,681,506666,28.2,1822,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.6948,139.9831&z=12",2026-05-27T08:32:08.359074+00:00,https://www.reinfolib.mlit.go.jp/
12217,3100,552,420098,22.4,2246,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.8623,139.9776&z=12",2026-05-27T08:32:22.999288+00:00,https://www.reinfolib.mlit.go.jp/
