municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,population_2025_estimated,population_2050_estimated,population_change_2025_2050_pct,medical_facility_count,medical_hospital_count,medical_clinic_count,childcare_facility_count,kindergarten_count,nursery_count,reinfolib_loaded_at,reinfolib_source_url
31000,1800,97,231578,20.7,544,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3808,133.7364&z=12",130350,89783,-31.12,77,8,45,,,,2026-05-28T09:22:34.258126+00:00,https://www.reinfolib.mlit.go.jp/
31201,2200,45,266666,18.4,653,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.4298,134.1582&z=12",223727,167772,-25.01,249,12,144,73,8,65,2026-05-28T09:23:53.318413+00:00,https://www.reinfolib.mlit.go.jp/
31202,1550,52,211929,23.2,852,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.4341,133.3592&z=12",365616,293591,-19.7,303,14,201,96,8,88,2026-05-28T09:25:14.774513+00:00,https://www.reinfolib.mlit.go.jp/
31203,,0,,,544,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3905,133.7456&z=12",130350,89783,-31.12,101,9,58,32,0,32,2026-05-28T09:26:31.814681+00:00,https://www.reinfolib.mlit.go.jp/
31204,,0,,,730,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.5188,133.2312&z=12",447067,369103,-17.44,186,7,128,17,1,16,2026-05-28T09:27:57.892024+00:00,https://www.reinfolib.mlit.go.jp/
31302,,0,,,759,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.5445,134.3627&z=12",218932,162407,-25.82,35,1,22,3,0,3,2026-05-28T09:29:18.981801+00:00,https://www.reinfolib.mlit.go.jp/
31325,,0,,,725,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3227,134.4404&z=12",214802,159970,-25.53,7,0,4,2,0,2,2026-05-28T09:30:36.989395+00:00,https://www.reinfolib.mlit.go.jp/
31328,,0,,,506,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.2496,134.2627&z=12",169484,119355,-29.58,10,1,6,4,0,4,2026-05-28T09:31:59.329426+00:00,https://www.reinfolib.mlit.go.jp/
31329,,0,,,725,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3814,134.3209&z=12",214802,159970,-25.53,31,0,19,5,0,5,2026-05-28T09:33:16.788747+00:00,https://www.reinfolib.mlit.go.jp/
31364,,0,,,451,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3527,133.8939&z=12",123402,85747,-30.51,16,1,9,3,0,3,2026-05-28T09:34:32.986086+00:00,https://www.reinfolib.mlit.go.jp/
