municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,population_2025_estimated,population_2050_estimated,population_change_2025_2050_pct,medical_facility_count,medical_hospital_count,medical_clinic_count,childcare_facility_count,kindergarten_count,nursery_count,reinfolib_loaded_at,reinfolib_source_url
01000,1900,4260,240000,28.8,219,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.3439,142.2902&z=12",55024,30436,-44.69,5,2,3,,,,2026-05-28T01:31:55.604917+00:00,https://www.reinfolib.mlit.go.jp/
01100,2000,3802,260000,28.5,219,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.3439,142.2902&z=12",55024,30436,-44.69,5,2,3,1,1,0,2026-05-28T01:33:53.002883+00:00,https://www.reinfolib.mlit.go.jp/
01101,2700,1302,320000,26.7,539,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.0384,141.3021&z=12",2246962,1964266,-12.58,2256,154,1116,84,12,72,2026-05-28T01:35:49.647817+00:00,https://www.reinfolib.mlit.go.jp/
01102,1450,384,210025,31.0,824,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.1347,141.354&z=12",2343813,2046738,-12.67,,,,,,,2026-05-28T01:37:55.956770+00:00,https://www.reinfolib.mlit.go.jp/
01105,1800,524,232456,30.4,1003,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=42.9998,141.389&z=12",2480068,2171518,-12.44,1705,113,867,70,12,58,2026-05-28T01:40:07.707004+00:00,https://www.reinfolib.mlit.go.jp/
01106,1000,217,137500,34.5,539,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=42.9471,141.1816&z=12",2246962,1964266,-12.58,6,2,2,3,1,2,2026-05-28T01:41:52.849954+00:00,https://www.reinfolib.mlit.go.jp/
01107,2000,403,260000,29.2,539,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.0639,141.2431&z=12",2246962,1964266,-12.58,1817,117,917,80,11,69,2026-05-28T01:44:53.861669+00:00,https://www.reinfolib.mlit.go.jp/
01108,2250,252,266666,27.8,1003,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.0433,141.4738&z=12",2480068,2171518,-12.44,1058,82,510,36,6,30,2026-05-28T01:46:44.647808+00:00,https://www.reinfolib.mlit.go.jp/
01109,1500,83,185714,27.8,568,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.1158,141.2245&z=12",2272070,1977629,-12.96,763,61,361,44,4,40,2026-05-28T01:48:24.425095+00:00,https://www.reinfolib.mlit.go.jp/
01110,1400,59,175000,28.5,1003,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=42.962,141.4314&z=12",2480068,2171518,-12.44,649,52,307,34,5,29,2026-05-28T01:50:03.940462+00:00,https://www.reinfolib.mlit.go.jp/
01202,1000,73,138461,32.2,403,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=41.8375,140.9258&z=12",303831,200581,-33.98,11,1,6,7,2,5,2026-05-28T01:51:23.206737+00:00,https://www.reinfolib.mlit.go.jp/
01203,990,73,133333,30.2,223,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.1564,141.0263&z=12",787494,656171,-16.68,164,13,79,14,11,3,2026-05-28T01:52:44.764274+00:00,https://www.reinfolib.mlit.go.jp/
01204,895,84,123611,32.2,201,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.7579,142.3701&z=12",379064,281730,-25.68,451,40,232,155,26,129,2026-05-28T01:54:11.331988+00:00,https://www.reinfolib.mlit.go.jp/
01205,395,2,58791,41,504,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=42.3665,140.9884&z=12",153830,96544,-37.24,139,11,70,11,8,3,2026-05-28T01:55:29.841097+00:00,https://www.reinfolib.mlit.go.jp/
01206,680,29,104615,30.8,22,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=43.2324,144.1601&z=12",7110,4278,-39.83,,,,,,,2026-05-28T01:56:44.466278+00:00,https://www.reinfolib.mlit.go.jp/
