municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,population_2025_estimated,population_2050_estimated,population_change_2025_2050_pct,medical_facility_count,medical_hospital_count,medical_clinic_count,childcare_facility_count,kindergarten_count,nursery_count,reinfolib_loaded_at,reinfolib_source_url
16000,1900,193,235294,22.1,952,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.7103,137.2673&z=12",868639,690166,-20.55,571,40,342,,,,2026-05-28T04:38:43.754228+00:00,https://www.reinfolib.mlit.go.jp/
16201,1950,160,267714,21.9,379,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.5466,137.2993&z=12",423663,353478,-16.57,40,4,19,16,1,15,2026-05-28T04:40:21.104985+00:00,https://www.reinfolib.mlit.go.jp/
16202,1600,31,184615,23.1,927,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.74,136.9663&z=12",785924,617474,-21.43,282,23,158,54,3,51,2026-05-28T04:42:14.518399+00:00,https://www.reinfolib.mlit.go.jp/
16204,,0,,,469,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.7598,137.4914&z=12",204170,145138,-28.91,66,6,39,12,1,11,2026-05-28T04:43:45.772150+00:00,https://www.reinfolib.mlit.go.jp/
16205,600,1,92307,13,927,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.865,136.9429&z=12",785924,617474,-21.43,69,6,43,14,1,13,2026-05-28T04:45:50.808896+00:00,https://www.reinfolib.mlit.go.jp/
16206,,0,,,712,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.7519,137.3822&z=12",581751,470959,-19.04,126,11,72,15,1,14,2026-05-28T04:47:46.799387+00:00,https://www.reinfolib.mlit.go.jp/
16207,,0,,,469,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.7688,137.6163&z=12",204170,145138,-28.91,,,,,,,2026-05-28T04:49:58.933158+00:00,https://www.reinfolib.mlit.go.jp/
16208,,0,,,935,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.6187,136.9907&z=12",807187,634959,-21.34,134,14,77,19,1,18,2026-05-28T04:52:16.716781+00:00,https://www.reinfolib.mlit.go.jp/
16209,,0,,,1243,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.6623,136.8548&z=12",1038270,857913,-17.37,135,12,78,12,0,12,2026-05-28T04:54:27.009894+00:00,https://www.reinfolib.mlit.go.jp/
16210,,0,,,575,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.4532,136.9196&z=12",506069,440537,-12.95,8,0,5,4,0,4,2026-05-28T04:56:03.391565+00:00,https://www.reinfolib.mlit.go.jp/
