municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,population_2025_estimated,population_2050_estimated,population_change_2025_2050_pct,medical_facility_count,medical_hospital_count,medical_clinic_count,childcare_facility_count,kindergarten_count,nursery_count,reinfolib_loaded_at,reinfolib_source_url
25000,2400,896,325000,22.2,688,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.151,136.1431&z=12",1146741,1025920,-10.54,276,11,167,,,,2026-05-28T16:28:27.244588+00:00,https://www.reinfolib.mlit.go.jp/
25201,2400,512,314285,22.8,1163,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.0877,135.9125&z=12",2573318,2262153,-12.09,660,23,432,103,20,83,2026-05-28T16:29:55.729780+00:00,https://www.reinfolib.mlit.go.jp/
25202,1900,31,223529,24.4,519,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.2652,136.2059&z=12",821828,702597,-14.51,222,5,137,57,9,48,2026-05-28T16:31:17.525052+00:00,https://www.reinfolib.mlit.go.jp/
25203,2350,8,320955,22.3,276,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.5006,136.2247&z=12",261916,192946,-26.33,47,1,33,15,1,14,2026-05-28T16:32:33.426471+00:00,https://www.reinfolib.mlit.go.jp/
25204,1600,21,282352,19.0,688,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.1651,136.0765&z=12",1146741,1025920,-10.54,201,6,127,42,6,36,2026-05-28T16:33:57.255817+00:00,https://www.reinfolib.mlit.go.jp/
25206,3300,217,453333,18.7,1446,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.0261,135.938&z=12",2958744,2557368,-13.57,769,24,510,90,13,77,2026-05-28T16:35:40.953335+00:00,https://www.reinfolib.mlit.go.jp/
25207,1350,54,169714,29.1,1163,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.0902,135.9698&z=12",2573318,2262153,-12.09,604,20,388,50,6,44,2026-05-28T16:37:10.913693+00:00,https://www.reinfolib.mlit.go.jp/
25208,2300,21,300000,25.2,1446,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.999,136.0142&z=12",2958744,2557368,-13.57,533,16,352,39,8,31,2026-05-28T16:38:50.708579+00:00,https://www.reinfolib.mlit.go.jp/
25209,,0,,,829,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.9179,136.1799&z=12",1046406,927050,-11.41,99,5,58,39,4,35,2026-05-28T16:40:21.345349+00:00,https://www.reinfolib.mlit.go.jp/
25210,1800,19,257142,24.9,1163,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.1036,136.0204&z=12",2573318,2262153,-12.09,333,11,215,25,8,17,2026-05-28T16:41:49.681734+00:00,https://www.reinfolib.mlit.go.jp/
25211,1400,3,171428,31,829,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.9999,136.0874&z=12",1046406,927050,-11.41,365,12,235,31,3,28,2026-05-28T16:43:14.107396+00:00,https://www.reinfolib.mlit.go.jp/
25212,,0,,,266,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3719,135.9861&z=12",180551,133740,-25.93,57,3,36,18,2,16,2026-05-28T16:44:28.053439+00:00,https://www.reinfolib.mlit.go.jp/
