municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,population_2025_estimated,population_2050_estimated,population_change_2025_2050_pct,medical_facility_count,medical_hospital_count,medical_clinic_count,childcare_facility_count,kindergarten_count,nursery_count,reinfolib_loaded_at,reinfolib_source_url
15000,1300,405,200000,28.4,902,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.6126,138.9605&z=12",703643,509379,-27.61,280,9,161,,,,2026-05-28T04:35:52.533246+00:00,https://www.reinfolib.mlit.go.jp/
15100,1350,314,200000,29.8,902,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.6126,138.9605&z=12",703643,509379,-27.61,280,9,161,89,9,80,2026-05-28T04:38:00.916053+00:00,https://www.reinfolib.mlit.go.jp/
15101,,0,,,687,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.9233,139.1989&z=12",960258,758730,-20.99,349,12,192,26,1,25,2026-05-28T04:39:39.794581+00:00,https://www.reinfolib.mlit.go.jp/
15102,1500,13,187500,32.9,687,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.928,139.1066&z=12",960258,758730,-20.99,749,27,409,65,3,62,2026-05-28T04:41:23.821711+00:00,https://www.reinfolib.mlit.go.jp/
15103,1400,257,200000,29.4,687,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.9043,139.0485&z=12",960258,758730,-20.99,882,32,486,83,11,72,2026-05-28T04:42:59.733731+00:00,https://www.reinfolib.mlit.go.jp/
15104,890,7,141666,31.7,687,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.8632,139.1066&z=12",960258,758730,-20.99,869,30,474,34,2,32,2026-05-28T04:44:47.756323+00:00,https://www.reinfolib.mlit.go.jp/
15105,,0,,,979,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.7859,139.1114&z=12",1140133,879895,-22.83,252,8,138,32,4,28,2026-05-28T04:47:11.650215+00:00,https://www.reinfolib.mlit.go.jp/
15106,,0,,,972,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.7687,139.0226&z=12",1038849,805340,-22.48,215,8,118,20,0,20,2026-05-28T04:49:23.980912+00:00,https://www.reinfolib.mlit.go.jp/
15107,1300,37,175000,31.1,972,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.8482,138.9516&z=12",1038849,805340,-22.48,484,24,256,67,3,64,2026-05-28T04:51:17.488319+00:00,https://www.reinfolib.mlit.go.jp/
15108,,0,,,972,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.7598,138.8963&z=12",1038849,805340,-22.48,149,7,89,22,2,20,2026-05-28T04:53:17.812871+00:00,https://www.reinfolib.mlit.go.jp/
15202,1350,70,255727,22.1,888,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.4452,138.8568&z=12",592858,434328,-26.74,306,12,170,110,4,106,2026-05-28T04:55:20.295080+00:00,https://www.reinfolib.mlit.go.jp/
15204,1550,8,207692,26.3,416,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.5407,139.0898&z=12",313882,216799,-30.93,13,1,8,4,0,4,2026-05-28T04:56:57.453453+00:00,https://www.reinfolib.mlit.go.jp/
15205,,0,,,667,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.3237,138.5993&z=12",346026,252998,-26.88,93,5,54,27,5,22,2026-05-28T04:58:47.724226+00:00,https://www.reinfolib.mlit.go.jp/
15206,680,1,113333,32,176,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.9073,139.4279&z=12",195539,136664,-30.11,115,6,65,30,1,29,2026-05-28T05:00:18.117025+00:00,https://www.reinfolib.mlit.go.jp/
15208,,0,,,542,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.2913,138.8005&z=12",321870,221406,-31.21,61,2,39,14,0,14,2026-05-28T05:02:14.353118+00:00,https://www.reinfolib.mlit.go.jp/
15209,,0,,,697,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.6221,139.1107&z=12",,,,,,,,,,2026-05-28T05:03:19.895304+00:00,https://www.reinfolib.mlit.go.jp/
15212,,0,,,139,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=38.3102,139.6174&z=12",45555,26167,-42.56,4,0,3,3,0,3,2026-05-28T05:04:59.647008+00:00,https://www.reinfolib.mlit.go.jp/
15213,,0,,,902,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.6655,138.8862&z=12",703643,509379,-27.61,279,9,167,31,1,30,2026-05-28T05:06:49.487727+00:00,https://www.reinfolib.mlit.go.jp/
15216,,0,,,263,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.9663,137.894&z=12",44658,26605,-40.43,,,,13,3,10,2026-05-28T05:12:39.277035+00:00,https://www.reinfolib.mlit.go.jp/
15217,260,2,65555,32,606,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.9323,138.1877&z=12",224479,151446,-32.53,13,1,7,6,0,6,2026-05-28T05:14:08.701696+00:00,https://www.reinfolib.mlit.go.jp/
15218,,0,,,283,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.6565,139.2263&z=12",214744,146897,-31.59,62,2,38,23,1,22,2026-05-28T05:15:40.032207+00:00,https://www.reinfolib.mlit.go.jp/
15222,600,4,113888,26.5,563,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.1202,138.3375&z=12",221851,154527,-30.35,225,9,131,47,5,42,2026-05-28T05:17:14.198876+00:00,https://www.reinfolib.mlit.go.jp/
15223,,0,,,557,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.8143,139.2592&z=12",667130,506641,-24.06,117,5,67,27,1,26,2026-05-28T05:18:53.066292+00:00,https://www.reinfolib.mlit.go.jp/
15224,,0,,,76,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=38.0443,138.3899&z=12",41961,23938,-42.95,46,4,25,17,1,16,2026-05-28T05:20:16.817908+00:00,https://www.reinfolib.mlit.go.jp/
15225,,0,,,124,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.2209,139.098&z=12",82228,54189,-34.1,1,0,1,,,,2026-05-28T05:21:42.843630+00:00,https://www.reinfolib.mlit.go.jp/
15226,290,2,45333,32.5,232,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.0559,138.9373&z=12",141133,90140,-36.13,38,3,21,23,0,23,2026-05-28T05:23:07.076349+00:00,https://www.reinfolib.mlit.go.jp/
15227,,0,,,203,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=38.0058,139.4806&z=12",201276,139402,-30.74,56,3,35,10,0,10,2026-05-28T05:24:28.893753+00:00,https://www.reinfolib.mlit.go.jp/
15307,,0,,,500,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.9834,139.2662&z=12",672989,516535,-23.25,204,10,114,5,1,4,2026-05-28T05:26:06.852587+00:00,https://www.reinfolib.mlit.go.jp/
15342,,0,,,736,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.6908,138.8376&z=12",532459,388106,-27.11,227,8,135,3,0,3,2026-05-28T05:27:46.536242+00:00,https://www.reinfolib.mlit.go.jp/
15361,,0,,,697,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.7011,139.0703&z=12",575455,408621,-28.99,197,7,110,4,1,3,2026-05-28T05:29:32.898149+00:00,https://www.reinfolib.mlit.go.jp/
15385,,0,,,105,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.665,139.4641&z=12",47992,27461,-42.78,18,1,9,3,0,3,2026-05-28T05:30:59.853604+00:00,https://www.reinfolib.mlit.go.jp/
15405,,0,,,888,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.5266,138.7147&z=12",592858,434328,-26.74,66,2,37,3,0,3,2026-05-28T05:33:32.311369+00:00,https://www.reinfolib.mlit.go.jp/
15461,620,4,112727,35,228,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.8557,138.8007&z=12",63504,37977,-40.2,8,1,3,1,0,1,2026-05-28T05:35:09.029787+00:00,https://www.reinfolib.mlit.go.jp/
15482,,0,,,349,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.971,138.6417&z=12",134533,84636,-37.09,19,1,13,5,0,5,2026-05-28T05:36:49.178353+00:00,https://www.reinfolib.mlit.go.jp/
15504,,0,,,667,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=37.4242,138.6268&z=12",346026,252998,-26.88,95,5,54,1,0,1,2026-05-28T05:38:39.565389+00:00,https://www.reinfolib.mlit.go.jp/
15581,,0,,,132,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=38.0643,139.6012&z=12",77859,47008,-39.62,7,0,5,2,0,2,2026-05-28T05:40:17.900993+00:00,https://www.reinfolib.mlit.go.jp/
15586,,0,,,74,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=38.4625,139.2404&z=12",9355,4676,-50.02,1,0,1,1,0,1,2026-05-28T05:41:32.943054+00:00,https://www.reinfolib.mlit.go.jp/
19000,985,130,178181,26.1,771,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.5855,138.6731&z=12",688451,556261,-19.2,347,18,192,9,0,9,2026-05-28T05:43:18.285020+00:00,https://www.reinfolib.mlit.go.jp/
