municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,population_2025_estimated,population_2050_estimated,population_change_2025_2050_pct,medical_facility_count,medical_hospital_count,medical_clinic_count,childcare_facility_count,kindergarten_count,nursery_count,reinfolib_loaded_at,reinfolib_source_url
40000,1800,6455,344444,25.1,1840,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.5899,130.6576&z=12",2412885,2141863,-11.23,306,22,177,,,,2026-05-28T16:30:45.181454+00:00,https://www.reinfolib.mlit.go.jp/
40100,1200,762,164705,27.9,1427,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.8681,130.8378&z=12",1723220,1345362,-21.93,1419,70,804,315,79,236,2026-05-28T16:32:51.747753+00:00,https://www.reinfolib.mlit.go.jp/
40101,1150,84,160130,27.7,814,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.9078,130.971&z=12",1133019,876278,-22.66,896,49,538,30,11,19,2026-05-28T16:34:14.772529+00:00,https://www.reinfolib.mlit.go.jp/
40103,980,21,125000,30.9,1102,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.9116,130.7444&z=12",1481870,1201722,-18.91,907,45,503,34,10,24,2026-05-28T16:35:43.781168+00:00,https://www.reinfolib.mlit.go.jp/
40105,1400,57,170000,30.1,1149,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.9011,130.8348&z=12",1446788,1135076,-21.55,1498,75,848,16,5,11,2026-05-28T16:37:07.823983+00:00,https://www.reinfolib.mlit.go.jp/
40106,1200,249,171428,28.3,1149,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.876,130.8776&z=12",1446788,1135076,-21.55,1315,69,757,67,16,51,2026-05-28T16:38:37.996346+00:00,https://www.reinfolib.mlit.go.jp/
40107,1400,91,186666,25.5,1427,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.7984,130.8809&z=12",1723220,1345362,-21.93,1188,63,676,100,20,80,2026-05-28T16:40:17.902220+00:00,https://www.reinfolib.mlit.go.jp/
40108,1650,54,213942,25.9,1427,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.8498,130.8089&z=12",1723220,1345362,-21.93,1510,76,846,32,8,24,2026-05-28T16:41:50.918912+00:00,https://www.reinfolib.mlit.go.jp/
40109,980,206,146666,28.1,1714,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.832,130.7473&z=12",2219140,1882793,-15.16,1242,69,693,96,24,72,2026-05-28T16:43:26.056529+00:00,https://www.reinfolib.mlit.go.jp/
40130,2000,4871,414285,24.8,1345,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.5604,130.6385&z=12",2034125,1830998,-9.99,359,30,196,117,22,95,2026-05-28T16:45:31.815596+00:00,https://www.reinfolib.mlit.go.jp/
