municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,population_2025_estimated,population_2050_estimated,population_change_2025_2050_pct,medical_facility_count,medical_hospital_count,medical_clinic_count,childcare_facility_count,kindergarten_count,nursery_count,reinfolib_loaded_at,reinfolib_source_url
36000,1250,110,184523,24.3,1421,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.9842,134.3689&z=12",556291,406228,-26.98,135,6,82,,,,2026-05-28T09:26:03.519173+00:00,https://www.reinfolib.mlit.go.jp/
36201,1300,106,185714,24.0,1613,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.0496,134.5238&z=12",616714,450170,-27.01,648,57,359,149,18,131,2026-05-28T09:27:29.197307+00:00,https://www.reinfolib.mlit.go.jp/
36202,380,1,84444,28,1382,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.1835,134.5412&z=12",527644,391322,-25.84,271,20,155,27,8,19,2026-05-28T09:28:54.731695+00:00,https://www.reinfolib.mlit.go.jp/
36203,,0,,,1446,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.9842,134.5956&z=12",542175,401487,-25.95,573,56,316,18,1,17,2026-05-28T09:30:20.834006+00:00,https://www.reinfolib.mlit.go.jp/
36204,,0,,,1446,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.8774,134.6046&z=12",542175,401487,-25.95,110,7,66,47,11,36,2026-05-28T09:31:45.516323+00:00,https://www.reinfolib.mlit.go.jp/
36205,,0,,,526,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.0371,134.2835&z=12",433193,319615,-26.22,152,9,87,13,0,13,2026-05-28T09:33:16.408281+00:00,https://www.reinfolib.mlit.go.jp/
36206,,0,,,526,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.1218,134.289&z=12",433193,319615,-26.22,146,9,84,12,0,12,2026-05-28T09:34:44.522343+00:00,https://www.reinfolib.mlit.go.jp/
36207,,0,,,526,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=34.0189,134.1433&z=12",433193,319615,-26.22,90,9,53,12,2,10,2026-05-28T09:36:14.777293+00:00,https://www.reinfolib.mlit.go.jp/
36208,,0,,,384,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.9247,133.8456&z=12",136904,85724,-37.38,14,0,11,10,6,4,2026-05-28T09:37:32.341545+00:00,https://www.reinfolib.mlit.go.jp/
36301,,0,,,1446,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.9286,134.4896&z=12",542175,401487,-25.95,61,9,34,2,0,2,2026-05-28T09:39:00.213264+00:00,https://www.reinfolib.mlit.go.jp/
36302,,0,,,1421,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=33.9002,134.3833&z=12",556291,406228,-26.98,13,1,9,1,0,1,2026-05-28T09:40:25.030610+00:00,https://www.reinfolib.mlit.go.jp/
