municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,population_2025_estimated,population_2050_estimated,population_change_2025_2050_pct,medical_facility_count,medical_hospital_count,medical_clinic_count,childcare_facility_count,kindergarten_count,nursery_count,reinfolib_loaded_at,reinfolib_source_url
21000,1900,281,228571,20.8,2025,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.5167,136.8995&z=12",1677809,1383884,-17.52,256,9,161,,,,2026-05-28T09:23:05.101276+00:00,https://www.reinfolib.mlit.go.jp/
21201,2200,169,282352,17.9,3157,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.4483,136.7647&z=12",3965531,3415724,-13.86,1053,40,625,176,37,139,2026-05-28T09:25:06.566031+00:00,https://www.reinfolib.mlit.go.jp/
21202,1200,30,165238,23.9,1734,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.2808,136.4627&z=12",1427697,1161505,-18.64,35,2,22,4,0,4,2026-05-28T09:26:46.998028+00:00,https://www.reinfolib.mlit.go.jp/
21203,3000,1,352941,18,188,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.1318,137.2858&z=12",99514,65837,-33.84,101,4,64,33,3,30,2026-05-28T09:28:04.243542+00:00,https://www.reinfolib.mlit.go.jp/
21204,2000,27,266666,18.1,1287,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.334,137.1126&z=12",1636722,1389851,-15.08,368,17,218,40,9,31,2026-05-28T09:29:41.699070+00:00,https://www.reinfolib.mlit.go.jp/
21205,,0,,,812,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.6305,136.8743&z=12",277541,198801,-28.37,41,2,26,3,1,2,2026-05-28T09:31:03.139499+00:00,https://www.reinfolib.mlit.go.jp/
21206,1900,1,253333,15,303,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.5666,137.4743&z=12",171727,122623,-28.59,83,3,49,37,6,31,2026-05-28T09:32:24.387067+00:00,https://www.reinfolib.mlit.go.jp/
21207,,0,,,2025,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.5789,136.9012&z=12",1677809,1383884,-17.52,55,2,35,9,0,9,2026-05-28T09:34:02.901117+00:00,https://www.reinfolib.mlit.go.jp/
21208,,0,,,1287,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3894,137.2736&z=12",1636722,1389851,-15.08,125,5,75,25,8,17,2026-05-28T09:35:41.668066+00:00,https://www.reinfolib.mlit.go.jp/
21209,1100,1,146666,32,3866,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3074,136.7016&z=12",3862196,3313813,-14.2,816,26,470,22,3,19,2026-05-28T09:37:34.090548+00:00,https://www.reinfolib.mlit.go.jp/
21210,,0,,,589,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3707,137.4181&z=12",348343,248427,-28.68,58,1,38,23,1,22,2026-05-28T09:39:06.424325+00:00,https://www.reinfolib.mlit.go.jp/
21211,,0,,,1567,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.4839,137.0266&z=12",1252678,1010188,-19.36,266,11,163,23,2,21,2026-05-28T09:40:37.380049+00:00,https://www.reinfolib.mlit.go.jp/
21212,880,2,122980,32.5,1287,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3242,137.2074&z=12",1636722,1389851,-15.08,239,10,142,23,6,17,2026-05-28T09:42:12.076921+00:00,https://www.reinfolib.mlit.go.jp/
21213,1200,41,150000,29.8,3157,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.4028,136.8783&z=12",3965531,3415724,-13.86,1051,35,623,36,13,23,2026-05-28T09:44:07.655227+00:00,https://www.reinfolib.mlit.go.jp/
21214,680,2,86588,40,2512,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.4044,137.065&z=12",3401051,2937382,-13.63,466,20,284,24,9,15,2026-05-28T09:45:52.188747+00:00,https://www.reinfolib.mlit.go.jp/
21215,,0,,,1773,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.5989,136.7431&z=12",1421382,1161461,-18.29,47,0,36,8,1,7,2026-05-28T09:47:22.028203+00:00,https://www.reinfolib.mlit.go.jp/
21216,505,2,84166,31.5,2589,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3967,136.6702&z=12",2743392,2316548,-15.56,1222,43,704,17,1,16,2026-05-28T09:49:04.255637+00:00,https://www.reinfolib.mlit.go.jp/
21217,,0,,,214,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.3327,137.2057&z=12",74765,49003,-34.46,17,1,13,3,0,3,2026-05-28T09:50:17.113131+00:00,https://www.reinfolib.mlit.go.jp/
21218,,0,,,595,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.6555,136.6199&z=12",218047,151608,-30.47,1,0,1,2,1,1,2026-05-28T09:51:32.972340+00:00,https://www.reinfolib.mlit.go.jp/
21219,,0,,,390,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.833,136.9456&z=12",66694,38667,-42.02,35,4,20,11,3,8,2026-05-28T09:52:46.479028+00:00,https://www.reinfolib.mlit.go.jp/
21220,,0,,,300,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.842,137.238&z=12",59776,34028,-43.07,33,2,21,6,0,6,2026-05-28T09:53:58.981573+00:00,https://www.reinfolib.mlit.go.jp/
21221,,0,,,3866,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.2138,136.6244&z=12",3862196,3313813,-14.2,135,7,83,11,0,11,2026-05-28T09:55:50.741164+00:00,https://www.reinfolib.mlit.go.jp/
21302,2400,3,282352,17.7,3157,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3863,136.7869&z=12",3965531,3415724,-13.86,1578,56,907,6,0,6,2026-05-28T09:57:40.930609+00:00,https://www.reinfolib.mlit.go.jp/
21303,,0,,,3157,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.366,136.7694&z=12",3965531,3415724,-13.86,1578,56,907,6,2,4,2026-05-28T09:59:32.730540+00:00,https://www.reinfolib.mlit.go.jp/
21341,,0,,,1734,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.2911,136.5644&z=12",1427697,1161505,-18.64,332,12,188,16,0,16,2026-05-28T10:01:09.403697+00:00,https://www.reinfolib.mlit.go.jp/
21361,,0,,,1400,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.3859,136.5164&z=12",1131434,904027,-20.1,288,12,157,7,0,7,2026-05-28T10:02:56.198253+00:00,https://www.reinfolib.mlit.go.jp/
21362,,0,,,1400,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.348,136.4458&z=12",1131434,904027,-20.1,56,2,31,2,0,2,2026-05-28T10:04:31.806661+00:00,https://www.reinfolib.mlit.go.jp/
