municipality_code,name,kind,xit001_method,xit001_param,center_lat,center_lng,notes
01000,北海道,都道府県,area,01,43.0642,141.3469,札幌市役所座標で代表
01100,札幌市,政令市,city_sum,01101-01110,43.0642,141.3469,10区合算
01213,苫小牧市,中核市,city,01213,42.6346,141.6055,苫小牧市役所
02000,青森県,都道府県,area,02,40.8244,140.7400,青森市役所代表
04000,宮城県,都道府県,area,04,38.2688,140.8721,仙台市役所代表
07000,福島県,都道府県,area,07,37.7503,140.4676,福島市役所代表
08000,茨城県,都道府県,area,08,36.3418,140.4467,水戸市役所代表
09000,栃木県,都道府県,area,09,36.5658,139.8836,宇都宮市役所代表
10000,群馬県,都道府県,area,10,36.3911,139.0608,前橋市役所代表
11000,埼玉県,都道府県,area,11,35.8569,139.6489,さいたま市役所代表
12000,千葉県,都道府県,area,12,35.6051,140.1233,千葉市役所代表
12203,船橋市,中核市,city,12203,35.6948,139.9831,船橋市役所
12217,柏市,中核市,city,12217,35.8623,139.9776,柏市役所
14000,神奈川県,都道府県,area,14,35.4478,139.6425,横浜市役所代表
14130,川崎市,政令市,city_sum,14131-14138,35.5308,139.7029,7区合算
14150,相模原市,政令市,city_sum,14151-14153,35.5710,139.3733,3区合算
15000,新潟県,都道府県,area,15,37.9024,139.0232,新潟市役所代表
15100,新潟市,政令市,city_sum,15101-15108,37.9161,139.0364,8区合算
17000,石川県,都道府県,area,17,36.5946,136.6256,金沢市役所代表
19000,山梨県,都道府県,area,19,35.6643,138.5683,甲府市役所代表
20202,松本市,中核市,city,20202,36.2380,137.9716,松本市役所
22000,静岡県,都道府県,area,22,34.9769,138.3831,静岡市役所代表
22203,沼津市,中核市,city,22203,35.0951,138.8631,沼津市役所
23000,愛知県,都道府県,area,23,35.1815,136.9066,名古屋市役所代表
23201,豊橋市,中核市,city,23201,34.7692,137.3914,豊橋市役所
24202,四日市市,中核市,city,24202,34.9645,136.6244,四日市市役所
26100,京都市,政令市,city_sum,26101-26111,35.0211,135.7556,11区合算
27100,大阪市,政令市,city_sum,27102-27128,34.6937,135.5022,24区合算
27140,堺市,政令市,city_sum,27141-27147,34.5733,135.4830,7区合算
29201,奈良市,中核市,city,29201,34.6851,135.8048,奈良市役所
32000,島根県,都道府県,area,32,35.4723,133.0505,松江市役所代表
33000,岡山県,都道府県,area,33,34.6618,133.9344,岡山市役所代表
33100,岡山市,政令市,city_sum,33101-33104,34.6618,133.9344,4区合算
34000,広島県,都道府県,area,34,34.3963,132.4596,広島市役所代表
34100,広島市,政令市,city_sum,34101-34108,34.3963,132.4596,8区合算
38201,松山市,中核市,city,38201,33.8392,132.7656,松山市役所
40000,福岡県,都道府県,area,40,33.5904,130.4017,福岡市役所代表
40100,北九州市,政令市,city_sum,40101-40109,33.8835,130.8752,7区合算 (旧若松/戸畑/小倉/八幡含む)
40130,福岡市,政令市,city_sum,40131-40137,33.5904,130.4017,7区合算
42202,佐世保市,中核市,city,42202,33.1798,129.7156,佐世保市役所
43000,熊本県,都道府県,area,43,32.7898,130.7417,熊本市役所代表
43100,熊本市,政令市,city_sum,43101-43105,32.7898,130.7417,5区合算
44201,大分市,中核市,city,44201,33.2382,131.6126,大分市役所
46000,鹿児島県,都道府県,area,46,31.5602,130.5581,鹿児島市役所代表
46201,鹿児島市,中核市,city,46201,31.5969,130.5571,鹿児島市役所
