municipality_code,name,kind,xit001_method,xit001_param,center_lat,center_lng,notes
01000,北海道,都道府県,area,01,43.3439,142.2902,北海道
01100,札幌市,政令市,city_sum,01101-01110,43.3439,142.2902,北海道
01101,札幌市中央区,市町村,city,01101,43.0384,141.3021,北海道
01102,札幌市北区,市町村,city,01102,43.1347,141.3540,北海道
01103,札幌市東区,市町村,city,01103,43.1087,141.4013,北海道
01104,札幌市白石区,市町村,city,01104,43.0603,141.4252,北海道
01105,札幌市豊平区,市町村,city,01105,42.9998,141.3890,北海道
01106,札幌市南区,市町村,city,01106,42.9471,141.1816,北海道
01107,札幌市西区,市町村,city,01107,43.0639,141.2431,北海道
01108,札幌市厚別区,市町村,city,01108,43.0433,141.4738,北海道
01109,札幌市手稲区,市町村,city,01109,43.1158,141.2245,北海道
01110,札幌市清田区,市町村,city,01110,42.9620,141.4314,北海道
01202,函館市,市町村,city,01202,41.8375,140.9258,北海道
01203,小樽市,市町村,city,01203,43.1564,141.0263,北海道
01204,旭川市,市町村,city,01204,43.7579,142.3701,北海道
01205,室蘭市,市町村,city,01205,42.3665,140.9884,北海道
01206,釧路市,市町村,city,01206,43.2324,144.1601,北海道
01207,帯広市,市町村,city,01207,42.7574,143.0306,北海道
01208,北見市,市町村,city,01208,43.8516,143.7152,北海道
01209,夕張市,市町村,city,01209,43.0434,142.1106,北海道
01210,岩見沢市,市町村,city,01210,43.1809,141.7974,北海道
01211,網走市,市町村,city,01211,43.9857,144.2105,北海道
01212,留萌市,市町村,city,01212,43.8856,141.7556,北海道
01213,苫小牧市,市町村,city,01213,42.6823,141.5795,北海道
01214,稚内市,市町村,city,01214,45.3325,141.8282,北海道
01215,美唄市,市町村,city,01215,43.3381,141.8818,北海道
01216,芦別市,市町村,city,01216,43.4254,142.2016,北海道
01217,江別市,市町村,city,01217,43.1073,141.5439,北海道
01218,赤平市,市町村,city,01218,43.5679,142.0628,北海道
01219,紋別市,市町村,city,01219,44.2032,143.2926,北海道
01220,士別市,市町村,city,01220,44.1152,142.5405,北海道
01221,名寄市,市町村,city,01221,44.3395,142.4593,北海道
01222,三笠市,市町村,city,01222,43.2398,141.9927,北海道
01223,根室市,市町村,city,01223,43.2744,145.4656,北海道
01224,千歳市,市町村,city,01224,42.8005,141.5095,北海道
01225,滝川市,市町村,city,01225,43.6084,141.9499,北海道
01226,砂川市,市町村,city,01226,43.5033,141.9327,北海道
01227,歌志内市,市町村,city,01227,43.4937,142.0388,北海道
01228,深川市,市町村,city,01228,43.7933,142.0992,北海道
01229,富良野市,市町村,city,01229,43.2818,142.4735,北海道
01230,登別市,市町村,city,01230,42.4656,141.0758,北海道
01231,恵庭市,市町村,city,01231,42.8712,141.4641,北海道
01233,伊達市,市町村,city,01233,42.6926,141.0899,北海道
01234,北広島市,市町村,city,01234,42.9616,141.5149,北海道
01235,石狩市,市町村,city,01235,43.4658,141.4429,北海道
01236,北斗市,市町村,city,01236,41.8641,140.5542,北海道
01303,当別町,市町村,city,01303,43.3636,141.5627,北海道
01304,新篠津村,市町村,city,01304,43.2244,141.6149,北海道
01331,松前町,市町村,city,01331,41.5160,140.0910,北海道
01332,福島町,市町村,city,01332,41.5256,140.2496,北海道
01333,知内町,市町村,city,01333,41.6031,140.3420,北海道
01334,木古内町,市町村,city,01334,41.7276,140.4154,北海道
01337,七飯町,市町村,city,01337,41.9488,140.7003,北海道
01343,鹿部町,市町村,city,01343,42.0214,140.7825,北海道
01345,森町,市町村,city,01345,42.0701,140.5623,北海道
01346,八雲町,市町村,city,01346,42.1899,140.2005,北海道
01347,長万部町,市町村,city,01347,42.5212,140.3119,北海道
01361,江差町,市町村,city,01361,41.8858,140.1774,北海道
