municipality_code,financial_capability_index,real_debt_service_ratio_pct,taxable_income_per_capita_yen,homeownership_rate_pct,crime_rate_per_1000,doctors_per_100k,ssds_hospital_count,unemployment_rate_pct,tertiary_industry_pct,dwelling_area_sqm,day_night_pop_ratio,school_count,nursery_children,ssds_data_year,ssds_source_url
01100,0.72,2.7,3409882,49.4,13.89,353.6,199,4.7,82.5,79.47,100.0,307,26613,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01101,,,,41.4,20.31,834.8,39,4.7,88.3,66.54,159.5,27,2518,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01102,,,,53.5,14.33,415.1,22,4.4,80.4,83.67,95.2,49,3954,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01103,,,,43.6,15.74,303.7,24,4.6,80.2,78.31,94.8,41,4519,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01104,,,,36.8,15.69,237.9,20,5.1,80.4,70.1,97.1,28,3831,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01105,,,,40.6,12.32,216.2,16,5.0,85.7,70.12,86.4,34,2979,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01106,,,,63.9,8.51,184.1,13,4.9,84.3,91.73,89.5,29,1369,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01107,,,,53.9,11.52,254.3,23,4.3,82.7,82.13,88.6,30,3263,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01108,,,,51.5,13.29,294.2,16,4.6,83.3,84.81,92.3,21,1568,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01109,,,,67.8,10.61,378.6,14,4.6,78.1,96.89,86.6,25,1619,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01110,,,,75.6,9.84,171.8,12,4.2,80.6,104.16,86.7,23,993,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01202,0.48,5.1,3036624,58.2,13.98,328.6,27,4.9,77.1,92.23,102.6,62,3524,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01203,0.46,5.7,2777887,66.3,9.31,260.6,15,6.0,79.8,95.71,102.9,30,1370,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01204,0.53,8.3,3014326,59.3,11.69,406.6,36,4.5,78.6,99.04,100.6,79,5715,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01205,0.63,9.6,3164294,55.0,10.5,315.6,7,4.6,71.1,85.61,109.5,17,1039,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01206,0.45,10.7,2984770,55.1,9.9,229.6,17,4.0,76.7,88.02,100.6,40,1701,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01207,0.6,8.4,3226908,53.7,9.02,319.5,18,3.5,72.7,93.21,104.3,38,2774,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01208,0.45,10.3,3203496,59.6,8.71,214.8,14,3.5,73.4,94.83,99.9,35,1446,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01209,0.2,68.3,2505611,47.4,8.73,109.1,0,7.3,60.9,92.69,104.8,2,92,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01210,0.38,9.4,2937889,67.5,12.58,219.4,8,4.6,71.5,103.66,97.7,23,1193,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01211,0.44,16.9,3638864,51.3,7.38,145.4,4,3.3,68.5,92.83,101.7,15,291,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01212,0.32,10.9,3017756,53.2,8.5,213.8,3,4.5,76.5,104.33,101.9,7,304,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01213,0.77,6.6,3104489,56.1,12.57,198.1,13,3.7,69.0,91.79,100.0,36,1979,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01214,0.39,10.6,3446646,59.7,5.93,146.0,3,4.8,68.4,100.86,100.2,18,346,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01215,0.27,12.4,2820105,70.6,9.9,210.7,3,3.7,64.3,105.94,98.8,4,204,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01216,0.25,5.3,2593241,69.1,6.85,95.6,3,5.6,62.0,98.66,97.9,4,103,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01217,0.55,5.6,2994513,67.5,11.19,123.1,6,4.5,76.2,102.79,90.3,26,900,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01218,0.19,11.4,2592476,56.2,7.63,237.2,2,5.0,68.8,94.92,104.5,2,106,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01219,0.32,9.7,3807635,61.6,7.31,160.3,3,3.8,64.9,104.9,100.6,9,226,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
01220,0.25,14.2,3118876,71.6,5.94,117.6,1,2.5,61.9,112.17,99.9,10,221,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
